,action,closed_at,created_at,group_id,issue_id,label_name,milestone_closed_at,milestone_closed_issues,milestone_created_at,milestone_creator,milestone_due_on,milestone_id,milestone_open_issues,milestone_state,milestone_title,state,title,user
104,labeled,1455662923.0,1455659194.0,Repo 2,26,Feature,1456624949.0,1,1455657392.0,Person 2,1456030800.0,5,0,closed,Solution 1 design iteration 1,closed,Design initial Android Project structure,Person 2
105,labeled,1456724703.0,1455658565.0,Repo 2,25,Feature,1456724743.0,7,1455051545.0,Person 3,1456722000.0,1,0,closed,Solution 1 ,closed,Achieve Milestone - Solution 1 testing iteration 2,Person 2
106,labeled,1456724688.0,1455658525.0,Repo 2,24,Feature,1456724743.0,7,1455051545.0,Person 3,1456722000.0,1,0,closed,Solution 1 ,closed,Achieve Milestone - Solution 1 development iteration 2,Person 2
107,labeled,1456724670.0,1455658485.0,Repo 2,23,Feature,1456724743.0,7,1455051545.0,Person 3,1456722000.0,1,0,closed,Solution 1 ,closed,Achieve Milestone - Solution 1 design iteration 2,Person 2
108,labeled,1456625057.0,1455658443.0,Repo 2,22,Feature,1456724743.0,7,1455051545.0,Person 3,1456722000.0,1,0,closed,Solution 1 ,closed,Achieve Milestone - Solution 1 development iteration 1,Person 2
109,labeled,1456625039.0,1455658326.0,Repo 2,21,Feature,1456724743.0,7,1455051545.0,Person 3,1456722000.0,1,0,closed,Solution 1 ,closed,Achieve Milestone - Solution 1 design iteration 1,Person 2
110,labeled,1456625014.0,1455658283.0,Repo 2,20,Feature,1456724743.0,7,1455051545.0,Person 3,1456722000.0,1,0,closed,Solution 1 ,closed,Achieve Milestone - Solution 1 testing iteration 1,Person 2
111,labeled,1456164618.0,1455656982.0,Repo 2,19,help wanted,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Move Solution2 files to a new directory named Solution2,Person 2
112,labeled,1456612094.0,1455430345.0,Repo 2,17,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Start implementing validator class,Person 3
113,labeled,1456612062.0,1455430332.0,Repo 2,18,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Create dummy dataset for implementation,Person 3
114,labeled,1456612062.0,1455430332.0,Repo 2,18,enhancement,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Create dummy dataset for implementation,Person 3
115,labeled,1456612094.0,1455430217.0,Repo 2,17,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Start implementing validator class,Person 3
116,labeled,1455117246.0,1455222657.0,Repo 2,4,group work,None,None,None,None,None,None,None,None,None,closed,Team meeting to define Roadmap for the March deliverables,Person 4
117,labeled,1456197623.0,1455201861.0,Repo 2,15,research,1456808632.0,4,1455051869.0,Person 4,1456722000.0,2,0,closed,Solution 3: Enhancement to the existing tool,closed,Adding docs for research,Person 4
118,labeled,1456197823.0,1455201402.0,Repo 2,14,feasibilty study,1456808632.0,4,1455051869.0,Person 4,1456722000.0,2,0,closed,Solution 3: Enhancement to the existing tool,closed,Plan/discuss reusability of code modules for various solutions.,Person 4
119,labeled,1455430034.0,1455152942.0,Repo 2,12,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Define project folder structure and running maven project in java,Person 1
120,unlabeled,1455223434.0,1455152907.0,Repo 2,10,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Demo on database design ,Person 1
121,labeled,1455223434.0,1455152899.0,Repo 2,10,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Demo on database design ,Person 1
122,labeled,1455162417.0,1455152888.0,Repo 2,9,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Create new branch for the project,Person 1
123,labeled,1455430079.0,1455152879.0,Repo 2,8,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Deploy Infrastructure for Solution 2,Person 1
124,labeled,1455430001.0,1455152863.0,Repo 2,7,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Come up with technologies to be used and do feasibility check,Person 1
125,labeled,1456185788.0,1455152846.0,Repo 2,6,Mar1,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Study on creating databases for this solution with efficient Interfaces,Person 1
126,labeled,1455155913.0,1455152831.0,Repo 2,5,Mar1,1456724743.0,7,1455051545.0,Person 3,1456722000.0,1,0,closed,Solution 1 ,closed,Study/Search on feasibility of using android.,Person 1
127,labeled,1455430034.0,1455129575.0,Repo 2,12,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Define project folder structure and running maven project in java,Person 3
128,labeled,1456197877.0,1455129550.0,Repo 2,11,feasibilty study,1456808632.0,4,1455051869.0,Person 4,1456722000.0,2,0,closed,Solution 3: Enhancement to the existing tool,closed,Technologies to be used for the solution 3,Person 4
129,labeled,1455223434.0,1455129495.0,Repo 2,10,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Demo on database design ,Person 1
130,labeled,1455162417.0,1455129432.0,Repo 2,9,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Create new branch for the project,Person 3
131,labeled,1455430079.0,1455129355.0,Repo 2,8,Feature,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Deploy Infrastructure for Solution 2,Person 3
132,labeled,1456185788.0,1455129257.0,Repo 2,6,feasibilty study,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Study on creating databases for this solution with efficient Interfaces,Person 1
133,labeled,1455430001.0,1455129175.0,Repo 2,7,feasibilty study,1456752207.0,21,1455052508.0,Person 3,1456722000.0,4,0,closed,Solution 2,closed,Come up with technologies to be used and do feasibility check,Person 3
134,labeled,1455155913.0,1455129168.0,Repo 2,5,feasibilty study,1456724743.0,7,1455051545.0,Person 3,1456722000.0,1,0,closed,Solution 1 ,closed,Study/Search on feasibility of using android.,Person 4
135,labeled,1454384481.0,1454343999.0,Repo 2,3,proj1 feedback,None,None,None,None,None,None,None,None,None,closed,"comments, no grade (yet)",Person 0
136,labeled,1457068555.0,1457067916.0,Repo 3,50,bug,None,None,None,None,None,None,None,None,None,closed,App receiving clicks from anywhere in the screes,Person 2
137,labeled,1457068578.0,1457067856.0,Repo 3,49,enhancement,-1,1,-1,Person 2,1457067600.0,16,0,open,Include Telemetry in the system,closed,Create telemetry for the solutions,Person 2
138,labeled,1456753269.0,1456640571.0,Repo 3,47,bug,None,None,None,None,None,None,None,None,None,closed,Force close on going out of the map,Person 4
139,labeled,1456753279.0,1456639367.0,Repo 3,46,bug,None,None,None,None,None,None,None,None,None,closed,Add an activity selection screen,Person 4
